review_stratum,policy_assigned_label,event_instance_id,event_id,line,prediction_hour_local,published_at_local,status_label,header,reviewer,is_significant_yes_no_uncertain,is_unplanned_yes_no_uncertain,policy_label_correct_yes_no_uncertain,review_notes
excluded_as_planned,0,11841:1,11841,A,2020-12-08 06:00:00,2020-12-08 06:06:00,no-scheduled-service,There is no scheduled A train service.,RC,NO,NO,YES,
excluded_as_planned,0,9673:1,9673,R,2020-11-05 10:00:00,2020-11-05 10:16:00,delays,N and R trains are delayed in both directions while our crews perform an investigation between Atlantic Av-Barclays Ctr and DeKalb Av.,RC,YES,YES,NO,
excluded_as_planned,0,15046:1,15046,B,2021-02-01 17:00:00,2021-02-01 17:35:00,suspended,"Because of the winter storm, B train service has been suspended.",RC,YES,YES,NO,
excluded_as_planned,0,4239:1,4239,1,2020-07-30 08:00:00,2020-07-30 08:58:00,weekday-service,1 trains are running approximately every 10-20 minutes between Van Cortlandt Park - 242 St and South Ferry.,RC,NO,NO,YES,
excluded_as_planned,0,4412:1,4412,A,2020-08-03 08:00:00,2020-08-03 08:53:00,weekday-service,A trains are running approximately every 10-15 minutes between Inwood - 207 St and Far Rockaway - Mott Av.,RC,NO,NO,YES,
excluded_as_planned,0,11944:1,11944,3,2020-12-10 05:00:00,2020-12-10 05:58:00,no-scheduled-service,There is no scheduled 3 train service.,RC,NO,NO,YES,
excluded_as_planned,0,9673:1,9673,W,2020-11-05 11:00:00,2020-11-05 11:28:00,no-scheduled-service | part-suspended | service-change,"There is limited service on the D N Q and R lines between Brooklyn and Manhattan while FDNY conducts an investigation between DeKalb Av and Atlantic Av-Barclays Ctr.
There is no Northbound D train service between Coney Island-Stillwell Av and 36 St.
Northbound D trains are running on the F line from Coney Island-Stillwell Av to W 4 St-Wash Sq.
Northbound N trains are running on the Q line from Coney Island-Stillwell Av and DeKalb Av.
Southbound N trains will end at 34 St-Herald Sq.
R trains will operate between 59 St and Bay Ridge-95 St.
Southbound R trains will operate between Forest Hills-71 Av and Whitehall St-South Ferry.
There is no W train service. 
Consider using 2 3 4 or 5 train service between Manhattan and Brooklyn.",RC,YES,YES,NO,
excluded_as_planned,0,14795:1,14795,W,2021-01-28 16:00:00,2021-01-28 16:43:00,suspended,"W train service is suspended while we repair a rail at DeKalb Av.

Take the N train as an alternate.",RC,YES,NO,YES,
excluded_as_planned,0,11188:1,11188,D,2020-11-26 10:00:00,2020-11-26 10:07:00,weekday-service,D trains run between Norwood-205 St and Coney Island-Stillwell Av.,RC,NO,NO,YES,
excluded_as_planned,0,5289:1,5289,C,2020-08-19 09:00:00,2020-08-19 09:04:00,weekday-service,C trains are running approximately every 20 minutes between 168 St and Euclid Av.,RC,NO,NO,YES,
